symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,signals,score_tags,premium,knn_score,swing_trend
BCHUSDT,80006,80053,1775831400,1775874600,LONG,EXPIRED,443.1,448.74173982,454.38347963,437.45826018,0.0,-0.23561880597322557,0.23561880597322557,16,2.51,66.01,0.4690265486725669,0.004131616533232446,1.8154323047027499,base,adaptive disabled,1.0,72.0,60,90,70,80,NEW_YORK,neutral,bullish,FVG,BOS bullish | Vol 2.5x | FVG | LiqSweep | ChoCH | Engulfing | BullWick | Session:NEW_YORK | Zone:FVG | MTF 16,BOS+2 | 1hN+1 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | LiqSweep+1 | ChoCH+1 | Engulfing+1 | BullWick+1 | Zone:FVG+1 | Sess:NEW_YORK,0,0.5,bear
LTCUSDT,80006,80053,1775831400,1775874600,LONG,EXPIRED,54.82,55.71,56.13568,54.16216,0.0,-0.24999999999999992,0.24999999999999992,15,1.84,67.13,0.3664596273291916,0.004534854933446065,2.241867375284107,base,adaptive disabled,1.25,79.5,90,90,60,80,NEW_YORK,bullish,bullish,OB,BOS bullish | Vol 1.8x | FVG | OB | ChoCH | Session:NEW_YORK | StrongTrend1h | Zone:OB | MTF 15 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | OB+1 | ChoCH+1 | Zone:OB+1 | Sess:NEW_YORK | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.45,range
BCHUSDT,80025,80067,1775848500,1775887200,LONG,SL,444.9,450.2388,455.5776,439.5612,-1.0,-1.2500000000000004,0.2500000000000004,17,2.71,64.62,0.19565217391304496,0.002691440672693448,1.1906933535998505,base,adaptive disabled,1.25,87.1,90,83,90,80,DEAD_ZONE,bullish,bullish,FVG,BOS bullish | Vol 2.7x | FVG | ChoCH | Engulfing | StrongTrend1h | Zone:FVG | MTF 17 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.425,range
TRUMPUSDT,42968,43015,1775866500,1775909700,SHORT,EXPIRED,2.838,2.77257121,2.70714243,2.90342879,0.0,-0.1301262028535147,0.1301262028535147,14,1.77,32.37,0.4678899082568822,0.004823288048017551,0.9877404881534583,base,adaptive disabled,1.15,78.5,90,100,50,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 1.8x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | QualityRisk:1.15,0,0.525,range
WLDUSDT,80054,80081,1775874600,1775899800,LONG,TRAIL,0.2812,0.28672473,0.29224946,0.27567527,0.6991437480416138,0.5464485032061205,0.15269524483549332,16,2.06,59.67,0.16831683168316952,0.012462185965907644,1.6533166720705257,base,adaptive disabled,1.25,86.5,90,80,90,80,OFF_HOURS,bullish,bullish,FVG,BOS bullish | Vol 2.1x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.5,bull
TRUMPUSDT,42993,43007,1775889000,1775902500,SHORT,TRAIL,2.821,2.787148,2.753296,2.854852,0.9221047622525458,0.6721047622525458,0.25000000000000006,15,4.04,34.58,0.19642857142857179,0.004394666880709373,1.2327040600828973,base,adaptive disabled,1.0,81.1,90,83,70,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 4.0x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1,0,0.6,bear
TRUMPUSDT,42994,43007,1775889900,1775902500,SHORT,TRAIL,2.821,2.787148,2.753296,2.854852,0.9230224324220918,0.6730224324220917,0.25000000000000006,14,1.58,36.34,0.2072072072072113,0.003919833072559088,1.1073528430371153,base,adaptive disabled,1.15,75.3,90,84,50,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 1.6x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | QualityRisk:1.15,0,0.525,bear
ONDOUSDT,77679,77691,1775913300,1775925000,SHORT,SL,0.25325,0.2502,0.247172,0.256289,-1.0,-1.249999999999999,0.24999999999999883,15,1.7,35.56,0.2151898734177169,0.004761291819526277,1.715425424800854,base,adaptive disabled,1.0,75.5,90,85,50,80,NEW_YORK,bearish,bearish,FVG,BOS bearish | Vol 1.7x | FVG | ChoCH | BearWick | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | BearWick+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1,0,0.375,range
BICOUSDT,80098,80107,1775914200,1775923200,SHORT,SL,0.022335,0.02206698,0.02179896,0.02260302,-1.0,-1.2499999999999993,0.24999999999999928,14,1.72,39.36,0.20430107526881705,0.006468680320083822,1.4405751137513565,base,adaptive disabled,1.0,75.3,90,84,50,80,NEW_YORK,bearish,bearish,FVG,BOS bearish | Vol 1.7x | FVG | ChoCH | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 14,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1,0,0.525,bear
ENAUSDT,70967,71000,1775926800,1775957400,LONG,SL,0.09605,0.0989315,0.101813,0.0931685,-1.0,-1.1,0.10000000000000016,14,1.68,71.91,0.4187582562747689,0.009811140106754962,1.7530471114920834,base,adaptive disabled,1.15,78.5,90,100,50,80,OFF_HOURS,bullish,bullish,FVG,BOS bullish | Vol 1.7x | FVG | ChoCH | BullWick | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | TrendPairRisk:1.15,0,0.575,bear
