symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,signals,score_tags,premium,sniper,knn_score,swing_trend,mae_r,mfe_tp1,accel_ratio,buy_pressure,absorption,obv_agree,obv_strength,size_mult,signal_bar,zone_age_bars,bos_candles_ago,extension_atr,room_atr,tp1_beyond_level,entry_range_atr,run_bars
AVAXUSDT,82,88,1706256900,1706263200,LONG,TRAIL,30.894,31.26235151,32.73575756,30.28008081,0.0,-0.1509677519609713,0.1509677519609713,13,1.38,60.06,0.2629727352682476,0.007848734249398037,1.3906861917758055,base,adaptive disabled,1.0,64.5,55,91,50,80,LONDON,bullish,neutral,FVG,BOS bullish | Vol 1.4x | FVG | LiqSweep | ChoCH | Session:LONDON | Zone:FVG | MTF 13,BOS+2 | 1h+2 | 4hN+1 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | LiqSweep+1 | ChoCH+1 | Zone:FVG+1 | Sess:LONDON,0,0,-1.0,range,0.1889,1.3628,0.0,-0.067,1.243,-1.0,-0.214,1.5,82,0,1,0.079,0.021,1,0.969,0
XLMUSDT,88,94,1706262300,1706268600,LONG,TRAIL,0.1137,0.11451864,0.1177932,0.1123356,1.6030876834343426,1.2697543501010098,0.3333333333333329,13,4.12,64.48,0.5555555555555572,0.00292551914408398,1.102920718294853,base,adaptive disabled,1.25,72.2,55,100,70,80,LONDON,bullish,neutral,FVG,BOS bullish | Vol 4.1x | FVG | ChoCH | Engulfing | Session:LONDON | Zone:FVG | MTF 13 | Risk x1.25,BOS+2 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:LONDON | QualityRisk:1.15 | RelStrengthRisk:1.25,0,0,-1.0,range,0.0733,1.3437,0.0,-0.2114,2.627,-1.0,-0.2409,2.0,88,2,3,0.628,-1.0,0,0.941,0
SOLUSDT,89,92,1706263200,1706266800,LONG,TRAIL,87.53,88.38441555,91.80207773,86.10597409,2.606191636632977,2.4678918356132047,0.1382998010197724,13,1.52,47.51,0.12686567164179333,0.009919232597733748,1.7763523682696682,base,adaptive disabled,1.25,61.2,55,75,50,80,LONDON,bullish,neutral,FVG,BOS bullish | Vol 1.5x | FVG | LiqSweep | ChoCH | Session:LONDON | Zone:FVG | MTF 13 | Risk x1.25,BOS+2 | 1h+2 | 4hN+1 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | LiqSweep+1 | ChoCH+1 | Zone:FVG+1 | Sess:LONDON | QualityRisk:1.15 | RelStrengthRisk:1.25,0,1,-1.0,bear,0.0772,2.8558,0.0,-0.0705,1.835,1.0,-0.1327,1.125,89,7,2,1.137,1.372,1,1.408,0
SUIUSDT,147,150,1706315400,1706319000,LONG,TRAIL,1.4384,1.4686064,1.589432,1.388056,0.736237625656424,0.6558804827992811,0.08035714285714293,13,1.33,59.8,0.2472222222222233,0.025283281060827487,1.7280921945452603,base,adaptive disabled,1.15,73.0,55,89,80,80,OFF_HOURS,bullish,neutral,OB,BOS bullish | Vol 1.3x | FVG | OB | ChoCH | Zone:OB | MTF 13 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+1 | RSI+1 | BTCok+1 | FVG+1 | OB+1 | ChoCH+1 | Zone:OB+1 | Sess:OFF_HOURS | QualityRisk:1.15,0,0,0.75,range,0.2344,1.0395,0.0,-0.0189,0.807,1.0,0.0777,1.40625,147,6,4,0.036,1.234,1,1.491,0
AVAXUSDT,151,165,1706319000,1706332500,LONG,TRAIL,32.513,32.85354252,34.21571261,31.94542913,0.5264470172307746,0.42977946362641106,0.09666755360436356,16,1.67,53.73,0.30501930501930424,0.006422167207182948,1.0349274527786296,base,adaptive disabled,1.15,71.5,55,96,70,80,OFF_HOURS,bullish,neutral,FVG,BOS bullish | Vol 1.7x | FVG | LiqSweep | ChoCH | Engulfing | BullWick | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | LiqSweep+1 | ChoCH+1 | Engulfing+1 | BullWick+1 | Zone:FVG+1 | Sess:OFF_HOURS | QualityRisk:1.15,0,1,0.625,bear,0.1762,1.0865,0.0,-0.1812,2.013,1.0,-0.3546,0.84375,151,35,3,0.522,3.709,0,1.038,0
AVAXUSDT,208,236,1706370300,1706396400,LONG,TRAIL,32.674,33.05169918,34.56249589,32.04450137,1.3623461595999093,1.2066317619371218,0.1557143976627875,16,1.63,60.01,0.29130434782607717,0.006237102183718735,1.3268092473247184,base,adaptive disabled,1.15,77.5,65,94,80,80,NEW_YORK,bullish,neutral,OB,BOS bullish | Vol 1.6x | FVG | OB | ChoCH | BullWick | Session:NEW_YORK | StrongTrend1h | Zone:OB | MTF 16 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | OB+1 | ChoCH+1 | BullWick+1 | Zone:OB+1 | Sess:NEW_YORK | Strong1h+1 | QualityRisk:1.15,0,0,0.6,bull,0.5878,1.1491,1.914,0.3096,1.434,1.0,0.2574,1.5,208,4,1,0.086,1.291,1,1.284,0
ADAUSDT,224,247,1706384700,1706406300,LONG,TRAIL,0.4875,0.49103215,0.50516073,0.48161309,0.6632713554042144,0.5584638778820503,0.10480747752216416,16,1.3,63.46,0.41860465116278994,0.003551698367774475,1.2182325404003271,base,adaptive disabled,1.0,75.8,65,100,70,80,DEAD_ZONE,bullish,neutral,FVG,BOS bullish | Vol 1.3x | FVG | ChoCH | Engulfing | BullWick | StrongTrend1h | Zone:FVG | MTF 16,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | BullWick+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1,0,0,0.6,bull,0.5096,1.7553,6.0,0.3624,1.613,1.0,0.2471,0.6328125,224,0,1,0.874,0.202,1,1.076,0
AVAXUSDT,233,238,1706392800,1706398200,LONG,TRAIL,32.855,33.27567286,34.95836429,32.15387857,0.6851484596464297,0.57971201620467,0.10543644344175969,15,1.61,61.86,0.1983298538622109,0.004708588399244874,0.9900571490676344,base,adaptive disabled,1.15,69.3,65,83,60,80,DEAD_ZONE,bullish,neutral,OB,BOS bullish | Vol 1.6x | FVG | OB | ChoCH | Engulfing | StrongTrend1h | Zone:OB | MTF 15 | Risk x1.15,BOS+2 | 1h+2 | 4hN+1 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | OB+1 | ChoCH+1 | Engulfing+1 | Zone:OB+1 | Sess:DEAD_ZONE | Strong1h+1 | QualityRisk:1.15,0,0,0.625,bull,0.0071,1.0816,0.275,0.0277,1.504,1.0,0.3546,1.125,233,4,1,0.053,1.832,1,1.086,0
SOLUSDT,241,247,1706400000,1706406300,LONG,TRAIL,93.92,94.91546198,98.8973099,92.2608967,0.5348085509795453,0.43928104524798517,0.09552750573156005,14,1.55,63.18,0.36121673003802257,0.007429343871022381,1.9000546950160404,base,adaptive disabled,1.25,67.8,65,90,50,80,DEAD_ZONE,bullish,neutral,FVG,BOS bullish | Vol 1.6x | FVG | ChoCH | Engulfing | BullWick | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.25,BOS+2 | 1h+2 | 4hN+1 | Vol+1 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Engulfing+1 | BullWick+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1 | QualityRisk:1.15 | RelStrengthRisk:1.25,0,0,0.7,bull,0.3436,1.1653,3.276,0.1086,1.386,1.0,0.4868,0.84375,239,1,2,0.716,-1.0,0,1.05,0
LINKUSDT,257,344,1706414400,1706493600,LONG,TRAIL,14.55,14.75983126,15.59915628,14.20028124,0.4306755159931692,0.34291526472726636,0.08776025126590291,13,2.67,71.82,0.7684210526315828,0.005043871216441305,1.448297181099075,base,adaptive disabled,1.0,75.8,65,100,70,80,OFF_HOURS,bullish,neutral,FVG,BOS bullish | Vol 2.7x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 13,BOS+2 | 1h+2 | 4hN+1 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1,0,0,0.775,range,1.0694,1.2867,0.0,0.1585,2.956,1.0,0.532,1.0546875,257,0,2,2.026,-1.0,0,0.971,6
