symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,signals,score_tags,premium,knn_score,swing_trend
XRPUSDT,9832,9918,1778982300,1779060600,SHORT,TP2,1.4085,1.3966686,1.374696,1.425402,2.0000000000000133,1.7500000000000129,0.2500000000000004,14,1.5,29.54,0.4074074074073983,0.004506375011246745,2.122502630447349,base,adaptive disabled,1.15,76.5,90,90,50,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 1.5x | FVG | ChoCH | Engulfing | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | TrendPairRisk:1.15,0,0.4,bear
ETHUSDT,9833,9918,1778983200,1779060600,SHORT,TP2,2178.58,2160.279928,2126.29408,2204.72296,1.9999999999999827,1.749999999999984,0.24999999999999875,16,1.54,38.81,0.2758330999719903,0.0033439586784666177,2.101046821078044,base,adaptive disabled,1.25,84.1,90,83,80,80,OFF_HOURS,bearish,bearish,OB,BOS bearish | Vol 1.5x | OB | ChoCH | Engulfing | BearWick | StrongTrend1h | Zone:OB | MTF 16 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTCok+1 | OB+1 | ChoCH+1 | Engulfing+1 | BearWick+1 | Zone:OB+1 | Sess:OFF_HOURS | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.525,bull
DOTUSDT,9881,9918,1779026400,1779060600,SHORT,TRAIL,1.2775,1.253,1.24418673,1.29415663,3.8935252802930815,3.663436720962652,0.2300885593304295,17,2.08,36.2,0.18181818181817816,0.0034036275444784673,1.0857571867737208,base,adaptive disabled,1.15,76.2,60,81,90,80,NEW_YORK,neutral,bearish,FVG,BOS bearish | Vol 2.1x | FVG | ChoCH | Engulfing | Session:NEW_YORK | Zone:FVG | MTF 17 | Risk x1.15,BOS+2 | BodyStrong+1 | 1hN+1 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:NEW_YORK | NestedOB_1h+2 | QualityRisk:1.15,0,0.5,range
DOTUSDT,9882,9917,1779027300,1779059700,SHORT,TRAIL,1.2735,1.25892319,1.23185197,1.29432402,1.0470022113983088,0.863536194750225,0.18346601664808385,16,5.62,36.2,0.2682926829268269,0.004718222094494826,1.50393329273818,base,adaptive disabled,1.0,72.4,60,92,70,80,NEW_YORK,neutral,bearish,FVG,BOS bearish | Vol 5.6x | FVG | ChoCH | Engulfing | Session:NEW_YORK | Zone:FVG | MTF 16,BOS+2 | 1hN+1 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:NEW_YORK | NestedOB_1h+2,0,0.625,range
SOLUSDT,9882,9918,1779027300,1779060600,SHORT,TP2,86.555,85.51,84.47768,87.59366,2.0000000000000138,1.750000000000012,0.2500000000000017,15,2.28,33.4,0.28961748633879647,0.0037467684651008586,1.5491995515479517,base,adaptive disabled,1.25,83.3,90,94,70,80,NEW_YORK,bearish,bearish,FVG,BOS bearish | Vol 2.3x | FVG | ChoCH | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.425,bear
XLMUSDT,9895,9918,1779039000,1779060600,SHORT,TRAIL,0.151,0.1497316,0.147376,0.152812,3.000782757996512,2.7507827579965127,0.2499999999999989,15,3.59,38.76,0.34883720930231477,0.0026594279868937753,1.0099177786877394,base,adaptive disabled,1.25,87.5,90,100,80,80,OFF_HOURS,bearish,bearish,OB,BOS bearish | Vol 3.6x | FVG | OB | ChoCH | StrongTrend1h | Zone:OB | MTF 15 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | OB+1 | ChoCH+1 | Zone:OB+1 | Sess:OFF_HOURS | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.525,range
ETHUSDT,9917,9918,1779058800,1779060600,SHORT,TP2,2187.61,2160.01,2135.10736,2213.86132,2.0000000000000173,1.750000000000016,0.25000000000000144,15,4.28,28.97,0.24980132450330994,0.0041934659265710295,2.0722268038097096,base,adaptive disabled,1.15,86.3,90,79,90,80,DEAD_ZONE,bearish,bearish,FVG,BOS bearish | Vol 4.3x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1 | TrendPairRisk:1.15,0,0.45,bull
AVAXUSDT,9918,9918,1779059700,1779060600,SHORT,TP2,9.288,9.2099808,9.065088,9.399456,2.0,1.7500000000000009,0.249999999999999,16,2.88,29.74,0.18466898954703448,0.0040500434126848174,1.5040241217509196,base,adaptive disabled,1.15,86.9,90,82,90,80,DEAD_ZONE,bearish,bearish,FVG,BOS bearish | Vol 2.9x | FVG | ChoCH | Engulfing | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1 | TrendPairRisk:1.15,0,0.6,range
LINKUSDT,9918,9918,1779059700,1779060600,SHORT,TP2,9.731,9.6492596,9.497456,9.847772,1.9999999999999847,1.7499999999999867,0.2499999999999979,16,3.07,31.6,0.16387959866220894,0.00479624487494799,1.4985944470717736,base,adaptive disabled,1.15,86.3,90,79,90,80,DEAD_ZONE,bearish,bearish,FVG,BOS bearish | Vol 3.1x | FVG | ChoCH | Engulfing | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1 | TrendPairRisk:1.15,0,0.6,bull
XLMUSDT,9945,9982,1779084000,1779118200,SHORT,TRAIL,0.1489,0.1455,0.14525959,0.15072021,1.909590075012041,1.664178831254451,0.24541124375758994,15,8.15,35.25,0.1864406779661068,0.0049426603278622935,1.4778554390193566,base,adaptive disabled,1.15,80.9,90,82,70,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 8.2x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | TrendPairRisk:1.15,0,0.475,range
