ts,hour_utc,coin,spread,cost54,cost109
1789274574,4,SUI,0.000415,0.000208,0.000208
1789274574,4,HYPE,0.000215,0.000114,0.000144
1789274574,4,ZEC,0.000009,0.000004,0.000004
1789274574,4,AAVE,0.000945,0.000532,0.000542
1789274574,4,TAO,0.000846,0.000423,0.000423
1789274574,4,NEAR,0.000852,0.000426,0.000426
1789274574,4,BILL,0.004518,0.002901,0.002957
1789275185,4,BTC,0.000001,0.000001,0.000001
1789275185,4,ETH,0.000004,0.000002,0.000002
1789275185,4,SOL,0.000197,0.000098,0.000098
1789275185,4,ADA,0.000483,0.000241,0.000241
1789275185,4,LINK,0.000261,0.000199,0.000209
1789275185,4,AVAX,0.000135,0.000068,0.000068
1789275185,4,XRP,0.000220,0.000110,0.000110
1789275185,4,DOT,0.000100,0.000541,0.000674
1789275185,4,XLM,0.002002,0.001075,0.001094
1789275185,4,SUI,0.000415,0.000324,0.000335
1789275185,4,HYPE,0.000063,0.000035,0.000152
1789275185,4,ZEC,0.000070,0.000035,0.000035
1789275185,4,AAVE,0.000788,0.000454,0.000464
1789275185,4,TAO,0.000424,0.000212,0.000212
1789275185,4,NEAR,0.000427,0.000214,0.000214
1789275185,4,BILL,0.004511,0.002878,0.002943
1789275795,5,BTC,0.000001,0.000001,0.000001
1789275795,5,ETH,0.000004,0.000002,0.000004
1789275795,5,SOL,0.000098,0.000049,0.000098
1789275795,5,ADA,0.000483,0.000241,0.000241
1789275795,5,LINK,0.000348,0.000243,0.000252
1789275795,5,AVAX,0.000675,0.000338,0.000381
1789275795,5,XRP,0.000073,0.000037,0.000037
1789275795,5,DOT,0.000099,0.000467,0.000507
1789275795,5,XLM,0.002055,0.001175,0.001213
1789275795,5,SUI,0.000415,0.000233,0.000290
1789275795,5,HYPE,0.000013,0.000080,0.000109
1789275795,5,ZEC,0.000052,0.000026,0.000026
1789275795,5,AAVE,0.000079,0.000326,0.000617
1789275795,5,TAO,0.000845,0.000423,0.000423
1789275795,5,NEAR,0.000852,0.000426,0.000426
1789275795,5,BILL,0.003758,0.002519,0.002575
1789276406,5,BTC,0.000001,0.000001,0.000001
1789276406,5,ETH,0.000004,0.000002,0.000002
1789276406,5,SOL,0.000098,0.000049,0.000049
1789276406,5,ADA,0.000482,0.000241,0.000241
1789276406,5,LINK,0.000261,0.000199,0.000208
1789276406,5,AVAX,0.000539,0.000270,0.000313
1789276406,5,XRP,0.000073,0.000168,0.000212
1789276406,5,DOT,0.000297,0.000343,0.000345
1789276406,5,XLM,0.001940,0.001197,0.001604
1789276406,5,SUI,0.000276,0.000274,0.000275
1789276406,5,HYPE,0.000328,0.000164,0.000179
1789276406,5,ZEC,0.000070,0.000035,0.000035
1789276406,5,AAVE,0.001492,0.000895,0.001323
1789276406,5,TAO,0.000422,0.000211,0.000211
1789276406,5,NEAR,0.000426,0.000213,0.000213
1789276406,5,BILL,0.003758,0.002501,0.002566
1789277016,5,BTC,0.000001,0.000001,0.000001
1789277016,5,ETH,0.000004,0.000002,0.000002
1789277016,5,SOL,0.000197,0.000098,0.000098
1789277016,5,ADA,0.000482,0.000556,0.000640
1789277016,5,LINK,0.000260,0.000199,0.000208
1789277016,5,AVAX,0.000269,0.000135,0.000135
1789277016,5,XRP,0.000073,0.000037,0.000037
1789277016,5,DOT,0.000396,0.000774,0.000920
1789277016,5,XLM,0.002047,0.001060,0.001070
1789277016,5,SUI,0.000276,0.000252,0.000264
1789277016,5,HYPE,0.000101,0.000064,0.000096
1789277016,5,ZEC,0.000009,0.000004,0.000004
1789277016,5,AAVE,0.001335,0.000772,0.000878
1789277016,5,TAO,0.000421,0.000211,0.000211
1789277016,5,NEAR,0.000426,0.000213,0.000213
1789277016,5,BILL,0.006020,0.003651,0.003707
1789277626,5,BTC,0.000001,0.000001,0.000001
1789277626,5,ETH,0.000004,0.000002,0.000002
1789277626,5,SOL,0.000196,0.000098,0.000098
1789277626,5,ADA,0.000482,0.000241,0.000241
1789277626,5,LINK,0.000347,0.000242,0.000251
1789277626,5,AVAX,0.000673,0.000337,0.000380
1789277626,5,XRP,0.000073,0.000037,0.000037
1789277626,5,DOT,0.000594,0.000381,0.000388
1789277626,5,XLM,0.003155,0.001651,0.001670
1789277626,5,SUI,0.000552,0.000392,0.000403
1789277626,5,HYPE,0.000076,0.000042,0.000066
1789277626,5,ZEC,0.000052,0.000100,0.000183
1789277626,5,AAVE,0.001257,0.000929,0.000975
1789277626,5,TAO,0.000843,0.000422,0.000422
1789277626,5,NEAR,0.000426,0.000213,0.000213
1789277626,5,BILL,0.005269,0.003276,0.003332
1789278236,5,BTC,0.000001,0.000001,0.000001
1789278236,5,ETH,0.000004,0.000015,0.000051
1789278236,5,SOL,0.000098,0.000049,0.000049
1789278236,5,ADA,0.000482,0.000241,0.000241
1789278236,5,LINK,0.000260,0.000266,0.000285
1789278236,5,AVAX,0.000134,0.000067,0.000067
1789278236,5,XRP,0.000146,0.000073,0.000073
1789278236,5,DOT,0.000198,0.000327,0.000397
1789278236,5,XLM,0.003046,0.001597,0.001615
1789278236,5,SUI,0.000414,0.000232,0.000289
1789278236,5,HYPE,0.000176,0.000148,0.000175
1789278236,5,ZEC,0.000330,0.000172,0.000190
1789278236,5,AAVE,0.001179,0.000650,0.000659
1789278236,5,TAO,0.000843,0.000422,0.000422
1789278236,5,NEAR,0.000427,0.000548,0.000594
1789278236,5,BILL,0.005289,0.003270,0.003336
1789278846,5,BTC,0.000001,0.000001,0.000001
1789278846,5,ETH,0.000004,0.000002,0.000002
1789278846,5,SOL,0.000098,0.000049,0.000049
1789278846,5,ADA,0.000480,0.000240,0.000240
1789278846,5,LINK,0.000173,0.000155,0.000164
1789278846,5,AVAX,0.000134,0.000067,0.000067
1789278846,5,XRP,0.000073,0.000037,0.000037
1789278846,5,DOT,0.000394,0.000705,0.000941
1789278846,5,XLM,0.002102,0.001088,0.001097
1789278846,5,SUI,0.000276,0.000254,0.000335
1789278846,5,HYPE,0.000201,0.000112,0.000135
1789278846,5,ZEC,0.000078,0.000039,0.000039
1789278846,5,AAVE,0.001330,0.000785,0.000913
1789278846,5,TAO,0.000421,0.000557,0.000594
1789278846,5,NEAR,0.000426,0.000602,0.000621
1789278846,5,BILL,0.003766,0.002525,0.002581
1789279456,6,BTC,0.000001,0.000001,0.000001
1789279456,6,ETH,0.000004,0.000002,0.000002
1789279456,6,SOL,0.000098,0.000049,0.000049
1789279456,6,ADA,0.000481,0.000240,0.000482
1789279456,6,LINK,0.000087,0.000043,0.000043
1789279456,6,AVAX,0.000134,0.000067,0.000134
1789279456,6,XRP,0.000073,0.000037,0.000037
1789279456,6,DOT,0.000394,0.000596,0.000693
1789279456,6,XLM,0.002047,0.001199,0.001477
1789279456,6,SUI,0.000414,0.000207,0.000207
1789279456,6,HYPE,0.000076,0.000038,0.000064
1789279456,6,ZEC,0.000383,0.000194,0.000201
1789279456,6,AAVE,0.001645,0.000882,0.000892
1789279456,6,TAO,0.000421,0.000211,0.000211
1789279456,6,NEAR,0.000426,0.000528,0.000584
1789279456,6,BILL,0.005281,0.003265,0.003331
1789280066,6,BTC,0.000001,0.000001,0.000001
1789280066,6,ETH,0.000004,0.000002,0.000002
1789280066,6,SOL,0.000098,0.000049,0.000049
1789280066,6,ADA,0.000480,0.000240,0.000240
1789280066,6,LINK,0.000174,0.000155,0.000164
1789280066,6,AVAX,0.000134,0.000067,0.000067
1789280066,6,XRP,0.000146,0.000073,0.000073
1789280066,6,DOT,0.000394,0.000218,0.000270
1789280066,6,XLM,0.002767,0.001494,0.001522
1789280066,6,SUI,0.000414,0.000207,0.000207
1789280066,6,HYPE,0.000114,0.000063,0.000092
1789280066,6,ZEC,0.000358,0.000179,0.000179
1789280066,6,AAVE,0.001177,0.000709,0.000727
1789280066,6,TAO,0.000421,0.000520,0.000576
1789280066,6,NEAR,0.000427,0.000585,0.000613
1789280066,6,BILL,0.004549,0.002921,0.002977
1789280676,6,BTC,0.000001,0.000001,0.000001
1789280676,6,ETH,0.000004,0.000002,0.000002
1789280676,6,SOL,0.000099,0.000049,0.000056
1789280676,6,ADA,0.000482,0.000241,0.000241
1789280676,6,LINK,0.000261,0.000130,0.000130
1789280676,6,AVAX,0.000269,0.000134,0.000134
1789280676,6,XRP,0.000073,0.000061,0.000123
1789280676,6,DOT,0.000295,0.000341,0.000398
1789280676,6,XLM,0.002995,0.001571,0.001590
1789280676,6,SUI,0.000415,0.000229,0.000288
1789280676,6,HYPE,0.000152,0.000099,0.000160
1789280676,6,ZEC,0.000166,0.000083,0.000083
