symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,signals,score_tags,premium,sniper,knn_score,swing_trend,mae_r,mfe_tp1,accel_ratio,buy_pressure,absorption,obv_agree,obv_strength,size_mult,signal_bar,zone_age_bars,bos_candles_ago,extension_atr,room_atr,tp1_beyond_level,entry_range_atr,run_bars
ETHUSDT,9657,9698,1683252000,1683289800,LONG,TRAIL,1896.5,1916.30130738,1995.50653688,1863.49782104,0.5853648784875436,0.4722288828453941,0.11313599564214943,13,5.54,68.87,0.6091499576390818,0.007941389811783972,3.0982459127316178,base,adaptive disabled,1.0,70.0,60,80,70,80,OFF_HOURS,neutral,bullish,FVG,BOS bullish | Vol 5.5x | FVG | ChoCH | Zone:FVG | MTF 13,BOS+2 | 1hN+1 | 4h+2 | Vol+2 | BTCok+1 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | NestedOB_1h+2,0,0,0.425,bull,0.1354,1.0353,0.0,0.1106,2.252,-1.0,-0.0623,0.984375,9657,1,2,2.26,3.2,0,0.985,0
ETHUSDT,9697,9699,1683288000,1683290700,LONG,TRAIL,1909.42,1923.167824,1978.15912,1886.50696,0.0,-0.12499999999999926,0.12499999999999926,15,2.67,69.36,0.39958734525446765,0.004029388863912626,1.95993607047243,base,adaptive disabled,1.0,82.5,90,90,70,80,OVERLAP,bullish,bullish,FVG,BOS bullish | Vol 2.7x | FVG | ChoCH | Session:OVERLAP | StrongTrend1h | Zone:FVG | MTF 15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | BTCok+1 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OVERLAP | Strong1h+1 | NestedOB_1h+2,0,0,0.425,bull,0.9536,1.1333,1.973,0.0812,1.879,1.0,0.4898,0.75,9697,0,4,1.41,0.654,1,1.33,3
ADAUSDT,9702,9711,1683292500,1683301500,SHORT,SL,0.38788,0.38316,0.37391632,0.39253456,-1.0944408547746787,-1.2702221047746798,0.175781250000001,15,3.23,32.68,0.34282018111254847,0.009647222080927614,3.9484556741799706,base,adaptive disabled,1.0,68.2,55,80,70,80,OVERLAP,bearish,neutral,FVG,BOS bearish | Vol 3.2x | FVG | LiqSweep | ChoCH | BearWick | Session:OVERLAP | Zone:FVG | MTF 15,BOS+2 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | LiqSweep+1 | ChoCH+1 | BearWick+1 | Zone:FVG+1 | Sess:OVERLAP,0,0,0.475,range,1.0721,0.3114,7.794,-0.1732,2.245,1.0,-0.5305,1.0546875,9700,0,1,1.157,0.47,1,1.651,0
XLMUSDT,9715,9807,1683304200,1683387900,LONG,SL,0.09393,0.09529549,0.10075746,0.09165418,-1.332212125739299,-1.440553844328643,0.10834171858934372,14,3.48,67.32,0.43820224719100753,0.0057826442356384245,3.168889044531606,base,adaptive disabled,1.0,70.0,60,80,70,80,NEW_YORK,neutral,bullish,FVG,BOS bullish | Vol 3.5x | FVG | ChoCH | Engulfing | Session:NEW_YORK | Zone:FVG | MTF 14,BOS+2 | 1hN+1 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:NEW_YORK,0,0,0.6,range,1.0897,0.5859,8.667,0.0674,1.616,-1.0,-0.0936,1.3125,9715,1,2,1.108,0.633,1,0.633,0
BTCUSDT,9748,9776,1683333900,1683360000,LONG,SL,29650.6,29864.08432,30718.0216,29294.7928,-0.31159782601363717,-0.3584728260136373,0.0468750000000001,15,2.05,65.91,0.39384920634920384,0.005588821237431404,1.5646063228375233,base,adaptive disabled,1.0,84.5,90,100,70,80,OFF_HOURS,bullish,bullish,FVG,BOS bullish | Vol 2.0x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1,0,0,0.5,bull,1.4913,0.1967,0.0,-0.1124,1.829,1.0,0.3384,0.28125,9748,0,1,0.179,0.243,1,1.313,0
DOTUSDT,9748,9769,1683333900,1683353700,LONG,SL,5.847,5.8890984,6.057492,5.776836,-0.5852360184710129,-0.6789860184710128,0.09374999999999986,21,1.73,57.54,0.164556962025327,0.005395265085674732,1.662025607736501,base,adaptive disabled,1.15,83.3,90,79,80,80,OFF_HOURS,bullish,bullish,OB,BOS bullish | Vol 1.7x | FVG | OB | LiqSweep | ChoCH | Engulfing | StrongTrend1h | Zone:OB | 💎PREMIUM | MTF 21 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | OB+1 | LiqSweep+1 | ChoCH+1 | Engulfing+1 | Zone:OB+1 | Sess:OFF_HOURS | Strong1h+1 | 💎Premium+3 | QualityRisk:1.15,1,1,0.35,bear,1.1687,0.5938,0.0,-0.0397,1.793,1.0,0.3257,0.5625,9748,4,1,0.214,1.712,1,1.445,0
ETHUSDT,9748,9756,1683333900,1683342000,LONG,SL,1999.75,2030.0,2073.95863948,1975.01378684,-0.7710355613704625,-0.8923000807452623,0.12126451937479973,15,1.47,67.15,0.49920660107901965,0.007935491568668775,1.9811252025802097,base,adaptive disabled,1.0,82.5,90,90,70,80,OFF_HOURS,bullish,bullish,FVG,BOS bullish | Vol 1.5x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1,0,0,0.5,bull,1.1045,0.1547,0.0,-0.214,1.646,1.0,0.4917,0.75,9748,1,2,0.689,3.254,1,1.983,0
DOTUSDT,9800,9802,1683380700,1683383400,SHORT,TRAIL,5.688,5.61329541,5.31447707,5.81250764,0.5107805272965169,0.40799165426029194,0.10278887303622489,13,2.55,31.35,0.6197183098591618,0.006039192671206012,2.172599563504106,base,adaptive disabled,1.0,76.2,55,90,90,80,NEW_YORK,bearish,neutral,FVG,BOS bearish | Vol 2.5x | FVG | ChoCH | Session:NEW_YORK | Zone:FVG | MTF 13,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK,0,0,0.5,range,0.0241,1.352,0.0,0.1542,1.933,1.0,-0.3185,1.125,9800,1,2,0.425,1.106,1,4.424,0
XRPUSDT,9856,9937,1683431100,1683504900,SHORT,TRAIL,0.45612,0.45283594,0.43969968,0.46159344,1.3476207322402363,1.222620732240236,0.1250000000000001,15,3.58,39.29,0.6802610114192419,0.0026610915620955936,1.2150810184345773,base,adaptive disabled,1.15,84.5,90,100,70,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 3.6x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | TrendPairRisk:1.15,0,0,0.575,range,0.6851,3.2429,0.0,0.0126,2.472,1.0,-0.2657,0.75,9856,0,1,0.445,0.127,1,0.763,3
SUIUSDT,224,243,1683459000,1683477000,SHORT,TRAIL,1.2969,1.28137593,1.21927966,1.32277345,0.7440753580196859,0.593701132703773,0.15037422531591282,16,4.13,36.26,0.4871794871794926,0.007185572240815706,1.1105986239249266,base,adaptive disabled,1.15,81.8,65,100,90,80,OVERLAP,bearish,neutral,FVG,BOS bearish | Vol 4.1x | FVG | MACD_Div | ChoCH | Session:OVERLAP | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | MACD_Div+1 | ChoCH+1 | Zone:FVG+1 | Sess:OVERLAP | Strong1h+1 | QualityRisk:1.15,0,0,0.35,range,0.5295,1.0371,0.0,-0.0663,2.235,1.0,-0.1693,1.5,223,0,1,0.979,0.423,1,0.761,0
ADAUSDT,9907,9930,1683477000,1683498600,SHORT,TRAIL,0.38002,0.37728386,0.36633928,0.38458024,0.6899447673998377,0.47119476739983734,0.2187500000000003,16,3.12,39.18,0.2215189873417656,0.0040239596142229,1.6663566676402994,base,adaptive disabled,1.0,77.2,60,86,90,80,NEW_YORK,neutral,bearish,FVG,BOS bearish | Vol 3.1x | FVG | LiqSweep | MACD_Div | ChoCH | Engulfing | Session:NEW_YORK | Zone:FVG | MTF 16,BOS+2 | BodyStrong+1 | 1hN+1 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | LiqSweep+1 | MACD_Div+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:NEW_YORK,0,1,0.65,bull,0.3267,1.2134,0.0,-0.0408,2.521,1.0,-0.0818,1.3125,9907,0,1,0.798,0.158,1,1.394,2
XLMUSDT,10006,10009,1683566100,1683569700,SHORT,TRAIL,0.08933,0.08854137,0.08538685,0.09064438,1.3605154294679755,1.258570025551299,0.10194540391667634,15,2.12,36.12,0.47517730496454363,0.0038076597669594136,1.551448281322777,base,adaptive disabled,1.25,84.5,90,100,70,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 2.1x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | TrendPairRisk:1.15 | RelStrengthRisk:1.25,0,0,0.425,bear,0.0533,1.0905,0.0,-0.1414,1.471,1.0,-0.2609,0.75,10005,0,1,0.738,1.407,1,2.954,0
ADAUSDT,10061,10163,1683615600,1683708300,SHORT,TRAIL,0.3636,0.35963882,0.34379408,0.37020197,0.3697726308794503,0.307813851908931,0.06195877897051929,20,1.33,36.5,0.44559585492227616,0.004625681970920274,1.2148783869586388,base,adaptive disabled,1.25,81.5,90,100,60,80,OFF_HOURS,bearish,bearish,OB,BOS bearish | Vol 1.3x | FVG | OB | LiqSweep | ChoCH | BearWick | StrongTrend1h | Zone:OB | 💎PREMIUM | MTF 20 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | OB+1 | LiqSweep+1 | ChoCH+1 | BearWick+1 | Zone:OB+1 | Sess:OFF_HOURS | Strong1h+1 | 💎Premium+3 | QualityRisk:1.15 | TrendPairRisk:1.25,1,0,0.6,bear,0.5816,1.0628,1.746,0.0091,1.0,1.0,-0.2588,0.5625,10060,5,2,0.686,0.053,1,1.019,0
XRPUSDT,10061,10128,1683615600,1683676800,SHORT,SL,0.4236,0.40847,0.40714919,0.4290836,-0.5939300824276006,-0.6808346706543124,0.08690458822671185,16,1.86,37.05,0.35164835164834946,0.005863841965906034,1.4206489857095113,base,adaptive disabled,1.15,78.5,90,100,50,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 1.9x | FVG | LiqSweep | ChoCH | BearWick | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | LiqSweep+1 | ChoCH+1 | BearWick+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | TrendPairRisk:1.15,0,1,0.425,bull,1.2492,0.2141,4.414,-0.0228,1.266,1.0,-0.3065,0.5625,10060,1,1,0.403,7.785,1,0.765,0
