symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,signals,score_tags,premium,sniper,knn_score,swing_trend,mae_r,size_mult,signal_bar
SOLUSDT,96,111,1659008700,1659023100,LONG,TRAIL,40.43,41.27903,43.2601,39.01495,1.0769377545630918,1.0197948974202347,0.05714285714285711,13,2.74,69.32,0.2790697674418622,0.011369125214885853,1.6813672956723105,base,adaptive disabled,1.25,70.8,55,93,70,80,OVERLAP,bullish,neutral,FVG,BOS bullish | Vol 2.7x | FVG | ChoCH | Engulfing | Session:OVERLAP | Zone:FVG | MTF 13 | Risk x1.25,BOS+2 | 1h+2 | 4hN+1 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OVERLAP | QualityRisk:1.15 | RelStrengthRisk:1.25,0,0,-1.0,range,0.8834,1.0,96
SOLUSDT,98,111,1659010500,1659023100,LONG,TRAIL,40.43,41.27903,43.2601,39.01495,1.0769417539374417,1.0197988967945846,0.05714285714285711,13,2.0,64.09,0.2790697674418587,0.012020310971786382,1.7776704337208398,base,adaptive disabled,1.15,76.8,55,93,90,80,OVERLAP,bullish,neutral,FVG,BOS bullish | Vol 2.0x | FVG | ChoCH | BullWick | Session:OVERLAP | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+1 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:OVERLAP | QualityRisk:1.15,0,0,-1.0,range,0.8834,1.0,97
ETHUSDT,100,103,1659012300,1659015900,LONG,TRAIL,1628.99,1661.32494132,1736.77313773,1575.09843114,0.0,-0.06045435434369352,0.06045435434369352,19,3.04,54.16,0.16807335625716438,0.018286189347508173,2.895014226189326,base,adaptive disabled,1.15,69.2,55,70,80,80,OVERLAP,bullish,neutral,OB,BOS bullish | Vol 3.0x | FVG | OB | LiqSweep | MACD_Div | ChoCH | BullWick | Session:OVERLAP | Zone:OB | 💎PREMIUM | MTF 19 | Risk x1.15,BOS+2 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | OB+1 | LiqSweep+1 | MACD_Div+1 | ChoCH+1 | BullWick+1 | Zone:OB+1 | Sess:OVERLAP | 💎Premium+3 | QualityRisk:1.15,1,1,-1.0,bear,0.0471,1.0,100
NEARUSDT,100,103,1659012300,1659015900,LONG,TRAIL,4.154,4.241234,4.44478,4.00861,0.0,-0.057142857142857176,0.057142857142857176,18,2.54,55.22,0.22781774580335634,0.022338063735865093,2.859272158260536,base,adaptive disabled,1.15,70.7,55,77,80,80,OVERLAP,bullish,neutral,OB,BOS bullish | Vol 2.5x | FVG | OB | LiqSweep | MACD_Div | BullWick | Session:OVERLAP | Zone:OB | 💎PREMIUM | MTF 18 | Risk x1.15,BOS+2 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | OB+1 | LiqSweep+1 | MACD_Div+1 | BullWick+1 | Zone:OB+1 | Sess:OVERLAP | 💎Premium+3 | QualityRisk:1.15,1,0,-1.0,range,0.1238,1.0,100
ADAUSDT,131,161,1659040200,1659068100,LONG,TRAIL,0.51812,0.52766165,0.54992549,0.50221726,0.9200529464309767,0.8548918484063597,0.06516109802461705,13,2.5,64.81,0.1640659830584034,0.009938773335091937,1.4098781447597217,base,adaptive disabled,1.15,68.0,55,79,70,80,DEAD_ZONE,bullish,neutral,FVG,BOS bullish | Vol 2.5x | FVG | ChoCH | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:DEAD_ZONE | RelStrengthRisk:1.15,0,0,0.6,bull,0.7357,1.0,131
LINKUSDT,203,225,1659105000,1659125700,LONG,TRAIL,7.935,8.101635,8.49045,7.657275,0.0,-0.05714285714285727,0.05714285714285727,14,2.37,65.36,0.19571045576407506,0.023852127281069196,1.927874113743657,base,adaptive disabled,1.15,76.3,65,73,90,80,NEW_YORK,bullish,neutral,FVG,BOS bullish | Vol 2.4x | FVG | ChoCH | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+0 | RelStrengthRisk:1.15,0,0,0.775,range,0.7885,1.0,203
ADAUSDT,279,295,1659173400,1659188700,LONG,TRAIL,0.52853,0.53962913,0.5655271,0.51003145,0.5041439030216428,0.44700104587878564,0.05714285714285714,13,3.06,67.56,0.6289412545635529,0.008035923707440131,0.9877787534256902,base,adaptive disabled,1.15,74.0,60,100,70,80,LONDON,neutral,bullish,FVG,BOS bullish | Vol 3.1x | FVG | ChoCH | Session:LONDON | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | 1hN+1 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:LONDON | QualityRisk:1.15,0,1,0.55,bear,0.3914,1.0,279
SOLUSDT,279,294,1659173400,1659187800,LONG,TRAIL,42.7,43.5967,45.689,41.2055,0.992847229785776,0.935704372642919,0.057142857142857065,16,2.44,68.72,0.4191176470588217,0.007783813607289157,0.8590872176065354,base,adaptive disabled,1.15,90.5,90,100,90,80,LONDON,bullish,bullish,FVG,BOS bullish | Vol 2.4x | FVG | ChoCH | Engulfing | BullWick | Session:LONDON | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | BullWick+1 | Zone:FVG+1 | Sess:LONDON | Strong1h+0 | QualityRisk:1.15,0,0,0.675,range,0.5754,1.0,277
ADAUSDT,280,295,1659174300,1659188700,LONG,TRAIL,0.52853,0.53962913,0.5655271,0.51003145,0.5037232862812548,0.4465804291383977,0.05714285714285714,13,1.78,62.0,0.5165042439484403,0.008430324203867886,1.002943951438411,base,adaptive disabled,1.15,68.0,60,100,50,80,LONDON,neutral,bullish,FVG,BOS bullish | Vol 1.8x | FVG | ChoCH | BullWick | Session:LONDON | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | 1hN+1 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:LONDON | QualityRisk:1.15,0,1,0.6,bear,0.3914,1.0,280
SOLUSDT,280,293,1659174300,1659186900,LONG,TRAIL,42.32,42.94648188,44.40827294,41.27586353,1.5264222850858078,1.4453600844713612,0.08106220061444666,15,2.23,54.7,0.3152542372881391,0.007485391456360349,0.8261508360013144,base,adaptive disabled,1.15,89.9,90,97,90,80,LONDON,bullish,bullish,FVG,BOS bullish | Vol 2.2x | FVG | BullWick | Session:LONDON | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | BullWick+1 | Zone:FVG+1 | Sess:LONDON | Strong1h+0 | QualityRisk:1.15,0,0,0.7,range,0.4597,1.0,280
XRPUSDT,280,289,1659174300,1659183300,LONG,TRAIL,0.36691,0.37304,0.37397,0.36250708,1.2009668354962495,1.034300168829584,0.16666666666666546,15,2.77,54.17,0.3433224755700328,0.004770272878806826,0.8979855224766566,base,adaptive disabled,1.15,90.5,90,100,90,80,LONDON,bullish,bullish,FVG,BOS bullish | Vol 2.8x | FVG | BullWick | Session:LONDON | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | BullWick+1 | Zone:FVG+1 | Sess:LONDON | Strong1h+0 | QualityRisk:1.15,0,0,0.55,range,0.1181,1.0,280
SOLUSDT,294,297,1659186900,1659190500,LONG,TRAIL,43.62,44.53602,46.6734,42.0933,0.8583853595538852,0.801242502411028,0.05714285714285721,13,1.73,71.31,0.27118644067796643,0.013491536984093838,1.7960608610117068,base,adaptive disabled,1.15,76.9,90,92,50,80,NEW_YORK,bullish,bullish,FVG,BOS bullish | Vol 1.7x | FVG | ChoCH | BullWick | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+0 | QualityRisk:1.15,0,0,0.625,bull,0.0066,1.0,294
AVAXUSDT,298,304,1659190500,1659196800,LONG,TRAIL,25.02,25.54542,26.7714,24.1443,0.9126383826256222,0.855495525482765,0.05714285714285725,15,1.61,66.96,0.22362869198312174,0.011563966226233761,1.6468448372839584,base,adaptive disabled,1.15,75.7,90,86,50,80,NEW_YORK,bullish,bullish,FVG,BOS bullish | Vol 1.6x | FVG | ChoCH | Engulfing | BullWick | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | BullWick+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+0 | RelStrengthRisk:1.15,0,0,0.65,range,0.1485,1.0,295
XRPUSDT,406,409,1659287700,1659291300,LONG,TRAIL,0.39231,0.3972303,0.40563,0.38410951,0.0,-0.09567964841125341,0.09567964841125341,15,3.28,59.68,0.16711281070745637,0.00651775166732644,1.22427191205589,base,adaptive disabled,1.25,80.5,90,80,70,80,OFF_HOURS,bullish,bullish,FVG,BOS bullish | Vol 3.3x | FVG | ChoCH | Engulfing | BullWick | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Engulfing+1 | BullWick+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+0 | QualityRisk:1.15 | RelStrengthRisk:1.25,0,0,0.45,range,0.0671,1.0,406
XLMUSDT,409,426,1659290400,1659306600,LONG,SL,0.12022,0.12419,0.1254,0.11847632,-1.3075793723618976,-1.4454716461736064,0.13789227381170877,13,1.67,63.37,0.22721088435374143,0.005613874060554452,1.0370755167824264,base,adaptive disabled,1.15,75.9,90,87,50,80,OFF_HOURS,bullish,bullish,FVG,BOS bullish | Vol 1.7x | FVG | ChoCH | Engulfing | StrongTrend1h | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+0 | QualityRisk:1.15,0,0,0.45,range,1.4854,1.0,406
AVAXUSDT,537,542,1659405600,1659411000,SHORT,TRAIL,22.9,22.4191,21.297,23.7015,0.6974743596131827,0.6403315024703257,0.057142857142857086,13,1.52,33.57,0.24031007751938072,0.013945275626793652,1.7211405971037346,base,adaptive disabled,1.15,76.1,90,88,50,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 1.5x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+0 | TrendPairRisk:1.15,0,1,0.45,bull,0.025,1.0,537
SOLUSDT,542,592,1659410100,1659456000,SHORT,SL,40.42,39.57118,37.5906,41.8347,-1.0249522867038945,-1.0820951438467519,0.0571428571428573,13,1.8,31.9,0.18295739348370774,0.008540889523388603,0.9992840742389029,base,adaptive disabled,1.25,74.7,90,81,50,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 1.8x | FVG | ChoCH | BearWick | StrongTrend1h | Zone:FVG | MTF 13 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | BearWick+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+0 | QualityRisk:1.15 | TrendPairRisk:1.25,0,1,0.5,bull,1.032,1.0,542
ADAUSDT,629,658,1659488400,1659515400,SHORT,SL,0.49328,0.48547412,0.46726041,0.50628979,-1.0538217757550346,-1.129653899102145,0.07583212334711034,15,1.52,32.03,0.3589420654911814,0.008051402616560283,1.2061340639010067,base,adaptive disabled,1.15,84.5,90,100,70,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 1.5x | FVG | LiqSweep | ChoCH | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | LiqSweep+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+0 | TrendPairRisk:1.15,0,0,0.4,range,1.1046,1.0,627
DOTUSDT,629,656,1659488400,1659513600,SHORT,SL,7.778,7.614662,7.23354,8.05023,-1.021195312786975,-1.078338169929832,0.057142857142856864,14,5.94,31.99,0.26172839506172735,0.014045802565245158,1.488667794567192,base,adaptive disabled,1.15,82.7,90,91,70,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 5.9x | FVG | LiqSweep | ChoCH | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | LiqSweep+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+0 | TrendPairRisk:1.15,0,0,0.425,range,1.0653,1.0,628
LINKUSDT,629,647,1659488400,1659505500,SHORT,SL,7.132,6.982228,6.63276,7.38162,-1.0495953849851785,-1.1067382421280356,0.0571428571428571,15,2.04,31.47,0.39059967585089145,0.01100811075033927,1.2857834278240685,base,adaptive disabled,1.15,84.5,90,100,70,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 2.0x | FVG | LiqSweep | ChoCH | BearWick | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | LiqSweep+1 | ChoCH+1 | BearWick+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+0 | TrendPairRisk:1.15,0,0,0.3,range,1.0656,1.0,627
XRPUSDT,630,821,1659489300,1659662100,SHORT,EXPIRED,0.36704,0.36026564,0.34445879,0.3783306,0.0,-0.06501691672718876,0.06501691672718876,14,1.62,35.94,0.2070450097847359,0.009652161775111108,1.5625171281270858,base,adaptive disabled,1.15,81.3,90,84,70,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 1.6x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+0 | TrendPairRisk:1.15,0,0,0.425,range,0.9185,1.0,628
XLMUSDT,631,810,1659490200,1659652200,SHORT,TRAIL,0.11421,0.11241212,0.10821707,0.11720646,0.45876695365175557,0.3825370023091711,0.07622995134258445,13,2.35,30.94,0.29714285714285665,0.008331512464370474,1.3462335568583532,base,adaptive disabled,1.15,83.5,90,95,70,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 2.4x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+0 | TrendPairRisk:1.15,0,0,0.425,range,1.0312,1.0,628
NEARUSDT,675,680,1659529800,1659535200,LONG,TRAIL,4.364,4.4385633,4.61254435,4.23972783,0.6874941616907454,0.6172612205583906,0.07023294113235476,14,1.9,57.39,0.2916666666666673,0.00932761038982684,1.200518325494566,base,adaptive disabled,1.15,86.5,90,95,80,80,OVERLAP,bullish,bullish,OB,BOS bullish | Vol 1.9x | FVG | OB | ChoCH | Session:OVERLAP | StrongTrend1h | Zone:OB | MTF 14 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTCok+1 | FVG+1 | OB+1 | ChoCH+1 | Zone:OB+1 | Sess:OVERLAP | Strong1h+0 | QualityRisk:1.15,0,0,0.625,bull,0.0,1.0,675
BTCUSDT,748,757,1659595500,1659604500,SHORT,TRAIL,22987.6,22787.0238025,22319.01267501,23321.89366249,0.566583630286218,0.4290542507055481,0.13752937958066996,15,2.11,39.63,0.28894498790364775,0.008260937966770163,2.1918585974048845,base,adaptive disabled,1.15,87.3,90,84,90,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 2.1x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+0 | TrendPairRisk:1.15,0,0,0.35,range,0.1268,1.0,747
ADAUSDT,770,824,1659615300,1659664800,SHORT,SL,0.49865,0.49303167,0.47992222,0.50801389,-1.003856303309846,-1.11036118536207,0.10650488205222418,14,2.1,36.55,0.3211678832116802,0.006411046785451326,1.4200747373726876,base,adaptive disabled,1.15,84.1,90,98,70,80,OVERLAP,bearish,bearish,FVG,BOS bearish | Vol 2.1x | FVG | ChoCH | Engulfing | Session:OVERLAP | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OVERLAP | Strong1h+0 | TrendPairRisk:1.15,0,0,0.45,bear,1.2324,1.0,770
DOTUSDT,864,891,1659699900,1659725100,LONG,TRAIL,8.503,8.64306911,8.96989703,8.26955149,0.32331572512739176,0.2504688262544884,0.07284689887290333,13,1.99,70.29,0.1572052401746745,0.007718667667895622,1.3783569731365746,base,adaptive disabled,1.15,74.1,90,78,50,80,OVERLAP,bullish,bullish,FVG,BOS bullish | Vol 2.0x | FVG | ChoCH | Engulfing | Session:OVERLAP | StrongTrend1h | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OVERLAP | Strong1h+0 | RelStrengthRisk:1.15,0,0,0.475,range,1.0409,1.0,864
ADAUSDT,866,868,1659701700,1659704400,LONG,SL,0.51413,0.51924232,0.53117107,0.50560946,-1.0245829489680225,-1.1452630936536876,0.12068014468566517,13,2.1,70.9,0.2661034846884933,0.006158357642090579,1.6917935510725297,base,adaptive disabled,1.0,80.0,65,91,90,80,OVERLAP,bullish,neutral,FVG,BOS bullish | Vol 2.1x | FVG | ChoCH | Session:OVERLAP | StrongTrend1h | Zone:FVG | MTF 13,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OVERLAP | Strong1h+0,0,0,0.475,bull,1.2276,1.0,863
ADAUSDT,902,909,1659734100,1659741300,LONG,TRAIL,0.51241,0.51790955,0.53074184,0.50324408,0.6067807796402085,0.4949731269441349,0.11180765269607355,15,2.2,68.87,0.49464398235666496,0.002981839765703953,0.7447396904188964,base,adaptive disabled,1.0,88.5,90,90,90,80,DEAD_ZONE,bullish,bullish,FVG,BOS bullish | Vol 2.2x | FVG | ChoCH | BullWick | StrongTrend1h | Zone:FVG | MTF 15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+0,0,0,0.475,range,0.06,1.0,901
ETHUSDT,902,909,1659734100,1659741300,LONG,TRAIL,1692.28,1721.290277,1788.98092335,1643.92953833,0.8647585870378038,0.7947580144869109,0.07000057255089294,15,2.5,67.53,0.3510992671552295,0.011244412918945053,1.6121869563855449,base,adaptive disabled,1.15,84.5,90,100,70,80,DEAD_ZONE,bullish,bullish,FVG,BOS bullish | Vol 2.5x | FVG | ChoCH | BullWick | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+0 | RelStrengthRisk:1.15,0,1,0.425,bear,0.0122,1.0,902
LINKUSDT,934,942,1659762900,1659771000,LONG,TRAIL,7.803,7.8591816,7.990272,7.709364,1.242422449041824,1.0757557823751576,0.16666666666666657,16,4.44,46.01,0.2664092664092686,0.005173267714358478,1.217599101149705,base,adaptive disabled,1.15,91.7,90,91,100,80,OFF_HOURS,bullish,bullish,OB,BOS bullish | Vol 4.4x | FVG | OB | ChoCH | Engulfing | StrongTrend1h | Zone:OB | MTF 16 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | OB+1 | ChoCH+1 | Engulfing+1 | Zone:OB+1 | Sess:OFF_HOURS | Strong1h+0 | QualityRisk:1.15,0,1,0.625,bear,0.3845,1.0,934
DOTUSDT,936,946,1659764700,1659774600,LONG,TRAIL,8.717,8.81768098,9.05260328,8.54919836,0.8600030256769611,0.7561065440931103,0.10389648158385077,13,1.53,59.45,0.16492693110646908,0.0072732317881895325,1.1712596968670959,base,adaptive disabled,1.25,74.3,90,79,50,80,OFF_HOURS,bullish,bullish,FVG,BOS bullish | Vol 1.5x | FVG | ChoCH | Engulfing | StrongTrend1h | Zone:FVG | MTF 13 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+0 | QualityRisk:1.15 | RelStrengthRisk:1.25,0,0,0.525,range,0.3337,1.0,936
DOTUSDT,946,1004,1659773700,1659826800,LONG,SL,8.725,8.8142809,9.02260299,8.5761985,-1.0282154413766065,-1.1454857645924348,0.1172703232158283,13,1.84,62.93,0.157657657657654,0.005129125502238263,0.9118329030716177,base,adaptive disabled,1.25,74.1,90,78,50,80,LONDON,bullish,bullish,FVG,BOS bullish | Vol 1.8x | FVG | ChoCH | Session:LONDON | StrongTrend1h | Zone:FVG | MTF 13 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:LONDON | Strong1h+0 | QualityRisk:1.15 | RelStrengthRisk:1.25,0,0,0.65,bull,1.2701,1.0,944
DOTUSDT,948,1005,1659775500,1659827700,LONG,SL,8.692,8.841,8.93687164,8.56956418,-1.4129851868513674,-1.5549697792688482,0.14198459241748074,15,2.56,52.21,0.1513043478260867,0.009468796573809038,1.5962205916722603,base,adaptive disabled,1.15,89.1,90,78,100,80,LONDON,bullish,bullish,OB,BOS bullish | Vol 2.6x | FVG | OB | ChoCH | Session:LONDON | StrongTrend1h | Zone:OB | MTF 15 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | OB+1 | ChoCH+1 | Zone:OB+1 | Sess:LONDON | Strong1h+0 | QualityRisk:1.15,0,0,0.5,bull,1.6907,1.0,947
AVAXUSDT,953,974,1659780000,1659799800,LONG,TRAIL,25.5,25.98472713,27.11575709,24.69212145,0.631414304400586,0.568286003742028,0.06312830065855803,13,2.74,69.86,0.29761904761904895,0.012042284396473408,2.0062445804605167,base,adaptive disabled,1.0,81.5,90,85,70,80,LONDON,bullish,bullish,FVG,BOS bullish | Vol 2.7x | FVG | ChoCH | Session:LONDON | StrongTrend1h | Zone:FVG | MTF 13,BOS+2 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:LONDON | Strong1h+0,0,0,0.575,range,0.099,1.0,950
AVAXUSDT,978,984,1659802500,1659808800,LONG,TRAIL,26.07,26.56409622,27.71698742,25.24650629,1.0337969850429056,0.9704813830330251,0.06331560200988048,14,2.19,67.77,0.2698412698412721,0.010199896336974436,1.8658524656495774,base,adaptive disabled,1.15,80.9,90,82,70,80,NEW_YORK,bullish,bullish,FVG,BOS bullish | Vol 2.2x | FVG | ChoCH | BullWick | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+0 | RelStrengthRisk:1.15,0,0,0.525,range,0.3764,1.0,978
XLMUSDT,1093,1118,1659906000,1659929400,LONG,TRAIL,0.12435,0.12551956,0.12824852,0.12240074,0.8046833340127897,0.6770964548894306,0.12758687912335911,14,1.99,62.87,0.269841269841269,0.003313523013064309,1.132856702164745,base,adaptive disabled,1.15,82.9,90,92,70,80,DEAD_ZONE,bullish,bullish,FVG,BOS bullish | Vol 2.0x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+0 | QualityRisk:1.15,0,1,0.625,bear,0.7644,1.0,1093
SOLUSDT,1096,1116,1659908700,1659927600,LONG,TRAIL,41.01,41.45974005,42.50913351,40.26043325,0.6130496880428703,0.5036264779018121,0.1094232101410582,13,1.6,68.49,0.3596059113300513,0.007733992877037982,2.087146877755159,base,adaptive disabled,1.15,82.5,90,90,70,80,DEAD_ZONE,bullish,bullish,FVG,BOS bullish | Vol 1.6x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+0 | QualityRisk:1.15,0,0,0.425,bull,0.7204,1.0,1094
ADAUSDT,1143,1238,1659951000,1660037400,LONG,SL,0.543,0.55184771,0.57249236,0.52825382,-1.0585792388265949,-1.1322254305860877,0.07364619175949272,13,1.53,62.72,0.37799043062200705,0.009883252472230562,1.9669153060514453,base,adaptive disabled,1.0,82.5,90,90,70,80,LONDON,bullish,bullish,FVG,BOS bullish | Vol 1.5x | FVG | ChoCH | Session:LONDON | StrongTrend1h | Zone:FVG | MTF 13,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:LONDON | Strong1h+0,0,0,0.5,bull,1.1528,1.0,1141
