symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,signals,score_tags,premium,sniper,knn_score,swing_trend,mae_r,size_mult,signal_bar
ADAUSDT,13083,13092,1702233000,1702242000,LONG,TRAIL,0.6009,0.61323435,0.64201451,0.58034275,0.6662922942549891,0.6078311674019323,0.058461126853056794,14,1.98,62.04,0.22061191626409155,0.011047009421171998,1.1342911461211684,base,adaptive disabled,1.25,75.7,90,86,50,80,OFF_HOURS,bullish,bullish,FVG,BOS bullish | Vol 2.0x | FVG | ChoCH | Engulfing | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+0 | QualityRisk:1.15 | RelStrengthRisk:1.25,0,0,0.325,range,0.3746,1.0,13083
DOTUSDT,13300,13303,1702428300,1702431900,LONG,SL,7.111,7.260331,7.60877,6.862115,-1.165196777628224,-1.222339634771081,0.05714285714285724,15,3.05,58.27,0.1635514018691587,0.012377256371278652,1.0736515191480847,base,adaptive disabled,1.25,86.3,90,79,90,80,OFF_HOURS,bullish,bullish,FVG,BOS bullish | Vol 3.0x | FVG | ChoCH | BullWick | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+0 | QualityRisk:1.15 | RelStrengthRisk:1.25,0,1,0.45,bear,1.1893,1.0,13298
SOLUSDT,13304,13313,1702431900,1702440900,SHORT,TRAIL,66.59,65.19161,62.66,68.92065,0.6888144699635284,0.631671612820671,0.05714285714285736,14,1.86,35.48,0.18344827586206908,0.016420713709664397,1.5731506289197523,base,adaptive disabled,1.25,80.9,90,82,70,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 1.9x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+0 | QualityRisk:1.15 | TrendPairRisk:1.25,0,1,0.45,bull,0.2017,1.0,13304
XLMUSDT,13305,13378,1702432800,1702499400,SHORT,SL,0.1211,0.1129,0.110642,0.12405414,-1.0155239765210886,-1.0975106122255578,0.08198663570446915,15,3.4,33.21,0.3235294117647043,0.008274616936225719,1.6921591648372531,base,adaptive disabled,1.15,84.1,90,98,70,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 3.4x | FVG | ChoCH | Engulfing | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+0 | TrendPairRisk:1.15,0,0,0.475,range,1.0494,1.0,13305
SOLUSDT,13415,13418,1702531800,1702535400,LONG,TRAIL,70.78,71.73828377,73.97427922,69.18286039,0.691951418977543,0.6033179650742865,0.0886334539032565,14,2.14,62.0,0.2776617954070974,0.007770085654873694,1.0700517959013458,base,adaptive disabled,1.25,74.3,65,93,70,80,OFF_HOURS,bullish,neutral,FVG,BOS bullish | Vol 2.1x | FVG | ChoCH | Engulfing | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.25,BOS+2 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+0 | QualityRisk:1.15 | RelStrengthRisk:1.25,0,1,0.475,bear,0.0939,1.0,13415
BTCUSDT,13440,13445,1702554300,1702559700,LONG,SL,43134.5,43485.33154701,44303.93849004,42549.78075498,-1.2075880963621175,-1.3551272798843716,0.14753918352225426,15,2.21,71.73,0.31303352987766575,0.004682555275019442,1.9024179048764578,base,adaptive disabled,1.0,87.9,90,87,90,80,OVERLAP,bullish,bullish,FVG,BOS bullish | Vol 2.2x | FVG | ChoCH | Engulfing | Session:OVERLAP | StrongTrend1h | Zone:FVG | MTF 15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OVERLAP | Strong1h+0,0,1,0.475,bear,2.0747,1.0,13440
AVAXUSDT,13441,13486,1702555200,1702596600,LONG,TRAIL,38.834,39.649514,41.55238,37.47481,1.099031060146202,1.0418882030033452,0.05714285714285693,17,1.7,53.16,0.17182219911619442,0.013066344758378293,1.2496613696519228,base,adaptive disabled,1.15,83.5,90,80,80,80,OVERLAP,bullish,bullish,OB,BOS bullish | Vol 1.7x | FVG | OB | ChoCH | BullWick | Session:OVERLAP | StrongTrend1h | Zone:OB | MTF 17 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTCok+1 | FVG+1 | OB+1 | ChoCH+1 | BullWick+1 | Zone:OB+1 | Sess:OVERLAP | Strong1h+0 | NestedOB_1h+2 | QualityRisk:1.15,0,1,0.55,bear,1.9894,1.0,13441
BTCUSDT,13441,13445,1702555200,1702559700,LONG,SL,43134.5,43491.19357937,44323.4785979,42540.01070105,-1.1877421532181107,-1.3328566239955832,0.1451144707774726,17,2.17,60.57,0.24958123953098524,0.00592495982057402,2.407179197321236,base,adaptive disabled,1.0,86.3,90,79,90,80,OVERLAP,bullish,bullish,FVG,BOS bullish | Vol 2.2x | FVG | ChoCH | Engulfing | Session:OVERLAP | StrongTrend1h | Zone:FVG | MTF 17,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OVERLAP | Strong1h+0 | NestedOB_1h+2,0,1,0.55,bear,2.0406,1.0,13441
AVAXUSDT,13486,13526,1702595700,1702632600,LONG,TRAIL,39.829,40.665409,42.61703,38.434985,0.8787679512424271,0.8216250940995701,0.05714285714285702,13,3.35,63.52,0.30261519302615164,0.012148622095009757,1.0450261033029802,base,adaptive disabled,1.15,83.7,90,96,70,80,DEAD_ZONE,bullish,bullish,FVG,BOS bullish | Vol 3.4x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+0 | QualityRisk:1.15,0,0,0.3,range,0.9483,1.0,13486
SUIUSDT,13493,13542,1702602000,1702647000,SHORT,TRAIL,0.6448,0.6312592,0.599664,0.667368,0.5214178990977467,0.4642750419548894,0.05714285714285735,13,1.52,32.42,0.1807228915662671,0.01054337574018987,1.7561479184311928,base,adaptive disabled,1.15,68.5,55,81,70,80,OFF_HOURS,bearish,neutral,FVG,BOS bearish | Vol 1.5x | FVG | ChoCH | Engulfing | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+1 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OFF_HOURS | QualityRisk:1.15,0,0,0.5,bear,0.3855,1.0,13493
