symbol,direction,entry_time,exit_time,entry,sl,tp1,outcome,net_r,risk_pct,size_mult,eff_ratio,z
LABUSDT,SHORT,1771669800,1771713000,0.14048,0.14312285714285714,0.13783714285714285,EXPIRED,0.34198140540540134,0.01881304913765052,1,0.08325171400587537,1.3747118593350187
NEARUSDT,LONG,1771678800,1771686900,1.0808,1.0663428571428573,1.0952571428571427,SL,-1.03286798418973,0.013376334989954379,1,0.14390243902439012,-0.8981433295877868
DOTUSDT,LONG,1771679700,1771691400,1.376,1.3599999999999999,1.392,SL,-1.0344,0.011627906976744175,1,0.23404255319148756,-0.4228426002491288
ZECUSDT,LONG,1771682400,1771686000,260.51,258.11285714285714,262.90714285714284,TP2,0.9565299165673419,0.009201730671155983,1,0.18342151675484908,-0.481478589080366
AAVEUSDT,LONG,1771691400,1771695900,121.77,120.04714285714286,123.49285714285713,TP2,0.9717283582089552,0.014148453172843403,1,0.0994318181818185,-1.0695818337354754
AVAXUSDT,LONG,1771692300,1771708500,9.239,9.135285714285715,9.342714285714287,SL,-1.0356325068870522,0.011225704699024334,1,0.07449209932280228,-1.1770500803189143
DOTUSDT,LONG,1771695900,1771729200,1.36,1.346714285714286,1.3732857142857142,SL,-1.0409462365591402,0.009768907563025137,1,0.3500000000000019,-1.251730451896934
XRPUSDT,LONG,1771696800,1771719300,1.4413,1.428257142857143,1.4543428571428572,SL,-1.0442019715224538,0.009049370112299362,1,0.022508038585210083,-0.6704932299252534
NEARUSDT,SHORT,1771706700,1771713900,1.056,1.0628714285714285,1.0491285714285716,TP2,0.938528066528066,0.006507034632034576,1,0.09138381201044699,0.9836756229909358
BTCUSDT,LONG,1771709400,1771713900,68322.3,68051.07142857142,68593.52857142859,SL,-1.1007597387548702,0.003969839590127621,1,0.009968949174699584,-0.7571220568476857
AAVEUSDT,LONG,1771716600,1771720200,121.71,120.73714285714286,122.68285714285713,SL,-1.0500422907488987,0.007993239198563316,1,0.3873417721519029,-1.0688255772157138
NEARUSDT,SHORT,1771718400,1771719300,1.0569,1.0651,1.0487,TP2,0.9484439024390241,0.007758539123852734,1,0.07870370370370035,0.9528827188249742
HYPEUSDT,SHORT,1771725600,1771733700,29.868,30.053714285714285,29.68228571428571,TP2,0.935668923076923,0.006217834662993348,1,0.2685274302213653,1.7066792041091603
LABUSDT,SHORT,1771743600,1771751700,0.13835,0.13999,0.13671,TP2,0.9662560975609755,0.011853993494759657,1,0.10579576816927416,0.4470513902342459
SOLUSDT,SHORT,1771744500,1771749000,85.24,85.65714285714284,84.82285714285715,TP2,0.9182630136986298,0.004893745391164423,1,0.15053763440860396,1.8814505401322987
ETHUSDT,SHORT,1771745400,1771758900,1975.25,1981.532857142857,1968.967142857143,SL,-1.1257548885857227,0.0031807908582999864,1,0.08194343727338572,1.0408797605425184
XLMUSDT,SHORT,1771750800,1771755300,0.15591,0.15684857142857142,0.15497142857142857,SL,-1.066445662100456,0.0060199565683499165,1,0.028436018957348465,1.0452034706004998
BTCUSDT,SHORT,1771754400,1771758900,68021.4,68167.78571428571,67875.01428571428,SL,-1.1858689567678298,0.0021520538284380804,1,0.1962872793670168,0.7144846708028524
