symbol,direction,entry_time,exit_time,entry,sl,tp1,outcome,net_r,risk_pct,size_mult,eff_ratio,z
LABUSDT,SHORT,1771669800,1771674300,0.14048,0.14312285714285714,0.1398192857142857,TP2,0.2287381621621648,0.01881304913765052,1,0.08325171400587537,1.3747118593350187
LABUSDT,SHORT,1771700400,1771705800,0.14139,0.14399142857142855,0.14073964285714285,TP2,0.22825963756177656,0.018398957291382474,1,0.05851413543721248,1.023078177806952
ZECUSDT,SHORT,1771825500,1771827300,238.3,242.34857142857143,237.28785714285715,SL,-1.0235441072688778,0.016989389125352215,1,0.13422588396841773,0.6803588353427472
HYPEUSDT,SHORT,1771826400,1771835400,27.572,28.02585714285714,27.458535714285713,TP2,0.22569984261882473,0.016460798739922487,1,0.18839487565938232,0.40496183467628655
LABUSDT,SHORT,1771827300,1771828200,0.13528,0.13748857142857143,0.13472785714285715,SL,-1.0245009055627425,0.016325927177494325,1,0.1330612244897958,1.6940932043597428
AAVEUSDT,LONG,1771864200,1771867800,116.88,114.80285714285714,117.39928571428571,SL,-1.022507840440165,0.017771585020044972,1,0.0492813141683784,-1.2539165094948679
LABUSDT,LONG,1771864200,1771867800,0.13601,0.13368428571428573,0.13659142857142856,SL,-1.0233923832923835,0.017099583013853954,1,0.29470529470529494,-0.8156657447662617
XRPUSDT,LONG,1771864200,1771868700,1.3771,1.3534428571428572,1.3830142857142858,SL,-1.0232842995169082,0.017178957851385367,1,0.20109190172884508,-0.9447303827571532
SUIUSDT,SHORT,1771951500,1771952400,0.8662,0.8817285714285714,0.8623178571428571,TP2,0.22768758049677837,0.017927235544414048,1,0.15930902111324247,1.116265578561434
HYPEUSDT,LONG,1771992000,1771993800,27.041,26.59314285714286,27.152964285714287,TP2,0.22584854864434004,0.016562151653309477,1,0.08059467918622826,-1.3635005646415679
ZECUSDT,LONG,1771994700,1772013600,239.41,234.39999999999998,240.6625,TP2,0.23088542914171517,0.02092644417526422,1,0.1403962101636518,-1.1625444101066889
LABUSDT,LONG,1772030700,1772031600,0.14836,0.14409999999999998,0.149425,TP2,0.23606948356807675,0.02871393906713404,1,0.13933895009721126,-1.5695673510747588
LABUSDT,LONG,1772053200,1772055900,0.14678,0.14396857142857142,0.14748285714285714,TP2,0.22911666666666666,0.01915403032721469,1,0.23155216284987246,-2.3341572363606917
AVAXUSDT,LONG,1772061300,1772063100,9.632,9.477142857142857,9.670714285714284,SL,-1.024879704797048,0.01607736117702892,1,0.11581920903954933,-1.2000123968863083
AAVEUSDT,LONG,1772064000,1772064900,119.03,116.52714285714286,119.65571428571428,TP2,0.230976940639268,0.021027112012577856,1,0.26939843068875136,-1.82182523553267
ADAUSDT,LONG,1772064000,1772064900,0.2971,0.28879999999999995,0.29917499999999997,TP2,0.23568192771084173,0.027936721642544647,1,0.014432989690721192,-1.3107552085603258
ETHUSDT,LONG,1772064000,1772065800,2057.06,2010.94,2068.59,TP2,0.2321590633131012,0.02242034748621819,1,0.04797282954786672,-1.0510967156116098
HYPEUSDT,LONG,1772065800,1772066700,28.133,27.51442857142857,28.287642857142856,TP2,0.23180775981524251,0.0219873966008399,1,0.1629502572898798,-0.8801680908112564
