symbol,direction,entry_time,exit_time,entry,sl,tp1,outcome,net_r,risk_pct,size_mult,eff_ratio,z
LABUSDT,SHORT,1771669800,1771674300,0.14048,0.14312285714285714,0.1391585714285714,TP2,0.4787381621621674,0.01881304913765052,1,0.08325171400587537,1.3747118593350187
NEARUSDT,SHORT,1771669800,1771674300,1.0965,1.1109,1.0893000000000002,TP2,0.46954166666665875,0.013132694938440406,1,0.3433242506811998,1.6349535950569987
SUIUSDT,SHORT,1771673400,1771677000,0.9606,0.9686,0.9566,TP2,0.45197000000000004,0.008328128253175106,1,0.316239316239318,1.35359127714215
AAVEUSDT,SHORT,1771678800,1771684200,122.39,124.01571428571428,121.57714285714286,SL,-1.030113532513181,0.013283064676152357,1,0.4480198019801995,1.040992425079218
ZECUSDT,LONG,1771680600,1771682400,259.09,256.78999999999996,260.23999999999995,TP2,0.4549408695652051,0.008877224130610999,1,0.37685459940653004,-1.7846176614024427
DOTUSDT,LONG,1771688700,1771691400,1.374,1.3601428571428573,1.3809285714285715,SL,-1.0396618556701036,0.010085256810147521,1,0.2549019607843132,-1.0740740740740446
HYPEUSDT,LONG,1771688700,1771698600,29.883,29.592,30.028499999999998,TP2,0.4589237113402,0.009737978114647102,1,0.32496307237813915,-0.9501520545201323
LINKUSDT,LONG,1771691400,1771695900,8.884,8.806428571428572,8.922785714285714,TP2,0.45418931860036843,0.008731588087733985,1,0.19047619047619566,-1.7663792097758908
HYPEUSDT,LONG,1771709400,1771723800,29.72,29.441,29.859499999999997,TP2,0.45739068100357766,0.00938761776581423,1,0.11365807067812732,-1.147269524082864
NEARUSDT,LONG,1771722000,1771729200,1.0403,1.0291285714285716,1.0458857142857143,SL,-1.0372485933503839,0.010738660551214538,1,0.24265842349304562,-1.8143877333921576
AAVEUSDT,LONG,1771728300,1771735500,120.0,118.94857142857143,120.52571428571429,SL,-1.0456521739130433,0.008761904761904778,1,0.4549450549450608,-1.3588465514697228
DOTUSDT,LONG,1771740000,1771744500,1.336,1.324,1.342,TP2,0.4554666666666667,0.00898203592814372,1,0.4893617021276654,-1.6106230163008837
LABUSDT,SHORT,1771748100,1771749000,0.13823,0.13965571428571427,0.13751714285714284,TP2,0.4612180360721541,0.010314072818594287,1,0.24968314321926546,0.4633679591976165
DOTUSDT,LONG,1771763400,1771770600,1.324,1.3131428571428572,1.3294285714285716,SL,-1.0487789473684208,0.00820025895554602,1,0.2881355932203344,-1.283008839440658
HYPEUSDT,LONG,1771765200,1771767000,29.323,29.045,29.462,TP2,0.4578086330935252,0.00948061248849027,1,0.10133542812254373,-1.373722226799995
NEARUSDT,LONG,1771770600,1771775100,1.0116,1.002714285714286,1.0160428571428572,TP2,0.4544617363344174,0.00878382195108168,1,0.3762376237623754,-1.6849528248414904
AAVEUSDT,LONG,1771772400,1771775100,118.02,116.95571428571428,118.55214285714285,TP2,0.45564348993288595,0.009017842012249744,1,0.3560209424083761,-0.8975685144089518
ADAUSDT,LONG,1771772400,1771784100,0.2717,0.2693285714285714,0.2728857142857143,SL,-1.0458289156626508,0.00872811399127183,1,0.5999999999999948,-1.2944379415003098
