symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,signals,score_tags,premium,sniper,knn_score,swing_trend,pullback_frac,run_len_before,impulse6_atr,retrace_bars_ratio,pullback_vol_ratio,post_sl_tp1,post_sl_max_r,mae_r,mfe_tp1,accel_ratio,buy_pressure,absorption,obv_agree,obv_strength,size_mult,signal_bar,zone_age_bars,bos_candles_ago,extension_atr,room_atr,tp1_beyond_level,entry_range_atr,run_bars
DOTUSDT,330,335,1706481000,1706486400,LONG,TRAIL,6.699,6.80408256,7.57468804,6.52386239,0.7728297908142076,0.7540036571099734,0.01882613370423404,17,3.96,66.1,0.41697416974170187,0.008864960365871003,1.6858621770321043,base,adaptive disabled,1.15,74.0,60,100,70,80,DEAD_ZONE,neutral,bullish,FVG,BOS bullish | Vol 4.0x | FVG | MACD_Div | ChoCH | BullWick | Zone:FVG | MTF 17 | Risk x1.15,BOS+2 | 1hN+1 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | MACD_Div+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:DEAD_ZONE | NestedOB_1h+2 | RelStrengthRisk:1.15,0,1,-1.0,bear,0.3692,0,3.1392,0.1765,2.6178,-1,0.0,0.0228,1.6749,0.0,0.1007,2.013,1.0,0.1663,1.23046875,328,0,4,2.566,0.698,1,0.772,0
DOTUSDT,339,351,1706489100,1706500800,LONG,TRAIL,6.8,6.9428,7.99,6.562,0.19808626575630295,0.1944701943277315,0.0036160714285714355,15,2.72,70.43,0.4750000000000063,0.010183447086923399,1.7434583641129846,base,adaptive disabled,1.15,84.5,90,100,70,80,OFF_HOURS,bullish,bullish,FVG,BOS bullish | Vol 2.7x | FVG | ChoCH | BullWick | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | RelStrengthRisk:1.15,0,0,-1.0,bull,0.2738,0,3.3704,0.1111,1.4862,-1,0.0,0.1891,1.0924,1.175,0.1558,2.173,1.0,0.1001,0.31640625,337,1,2,1.418,-1.0,0,0.76,0
DOTUSDT,339,351,1706489100,1706500800,LONG,TRAIL,6.8,6.9428,7.99,6.562,0.35215336134453856,0.3457247899159671,0.0064285714285714415,14,1.96,65.58,0.3064516129032262,0.009931880389904972,1.6812890855165723,base,adaptive disabled,1.15,77.7,90,96,50,80,OFF_HOURS,bullish,bullish,FVG,BOS bullish | Vol 2.0x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | RelStrengthRisk:1.15,0,0,-1.0,bull,0.2738,0,3.2774,0.1111,1.4862,-1,0.0,0.1891,1.0924,0.673,0.0587,1.441,1.0,0.0066,0.5625,338,2,3,0.919,-1.0,0,0.739,0
DOTUSDT,340,349,1706490000,1706499000,LONG,TRAIL,6.762,6.904002,7.94535,6.52533,0.32561161110407105,0.3191830396754996,0.006428571428571448,17,1.65,54.01,0.12110726643598407,0.008334196873715328,1.426857244272592,base,adaptive disabled,1.15,82.3,90,74,80,80,OFF_HOURS,bullish,bullish,OB,BOS bullish | Vol 1.6x | FVG | OB | ChoCH | StrongTrend1h | Zone:OB | MTF 17 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTCok+1 | FVG+1 | OB+1 | ChoCH+1 | Zone:OB+1 | Sess:OFF_HOURS | Strong1h+1 | NestedOB_1h+2 | QualityRisk:1.15,0,0,-1.0,bull,0.3908,0,2.667,0.1765,1.5135,-1,0.0,0.0169,1.0211,0.271,0.0059,1.313,-1.0,-0.0916,0.5625,340,7,5,0.318,0.279,1,1.254,0
ADAUSDT,343,402,1706492700,1706546700,LONG,TRAIL,0.4943,0.50146454,0.55400449,0.4823591,0.7666664573022138,0.7503669635454618,0.01629949375675196,14,1.42,60.03,0.4971428571428527,0.006267066981112054,1.227593080510911,base,adaptive disabled,1.0,74.0,60,100,70,80,OFF_HOURS,neutral,bullish,FVG,BOS bullish | Vol 1.4x | FVG | ChoCH | Engulfing | BullWick | Zone:FVG | MTF 14,BOS+2 | BodyStrong+1 | 1hN+1 | 4h+2 | Vol+1 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Engulfing+1 | BullWick+1 | Zone:FVG+1 | Sess:OFF_HOURS,0,0,-1.0,bull,0.1786,0,3.1377,0.0526,1.424,-1,0.0,0.8877,1.8424,0.0,0.1871,1.941,-1.0,-0.0113,0.984375,343,0,2,0.876,1.861,1,0.73,2
AVAXUSDT,343,402,1706492700,1706546700,LONG,TRAIL,35.343,36.085203,41.528025,34.105995,1.1290027374586094,1.1114246124586096,0.017578124999999955,13,2.71,58.38,0.40109072880515856,0.01104359867789035,1.3949999775239634,base,adaptive disabled,1.15,74.0,60,100,70,80,OFF_HOURS,neutral,bullish,FVG,BOS bullish | Vol 2.7x | FVG | LiqSweep | ChoCH | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | 1hN+1 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | LiqSweep+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | QualityRisk:1.15,0,0,-1.0,range,0.249,0,3.7138,0.0526,2.8763,-1,0.0,0.8213,1.5427,0.0,0.0641,2.56,1.0,0.0534,1.5380859375,343,0,1,0.803,4.641,0,1.057,2
LINKUSDT,344,404,1706493600,1706548500,LONG,TRAIL,14.603,14.90417619,17.11280161,14.10103968,0.4439965540378781,0.4359422910830767,0.008054262954801385,13,2.84,69.01,0.6897810218978081,0.008448955166101642,1.3904291899582673,base,adaptive disabled,1.0,74.0,60,100,70,80,OFF_HOURS,neutral,bullish,FVG,BOS bullish | Vol 2.8x | FVG | ChoCH | Engulfing | BullWick | Zone:FVG | MTF 13,BOS+2 | 1hN+1 | 4h+2 | Vol+2 | BTCok+1 | FVG+1 | ChoCH+1 | Engulfing+1 | BullWick+1 | Zone:FVG+1 | Sess:OFF_HOURS,0,0,-1.0,bull,0.3875,0,3.3789,0.1111,2.4532,-1,0.0,0.6973,1.2584,6.873,0.2081,1.868,1.0,0.1858,0.692138671875,342,0,6,2.542,-1.0,0,0.919,0
ADAUSDT,346,402,1706495400,1706546700,LONG,TRAIL,0.4964,0.5047509,0.56599084,0.48248183,0.38191982135582675,0.3713873213935472,0.01053249996227952,17,1.49,64.84,0.4390243902438993,0.00429956730664808,0.8454669153512604,base,adaptive disabled,1.15,74.0,60,100,70,80,OFF_HOURS,neutral,bullish,FVG,BOS bullish | Vol 1.5x | FVG | ChoCH | Engulfing | BullWick | Zone:FVG | MTF 17 | Risk x1.15,BOS+2 | BodyStrong+1 | 1hN+1 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | BullWick+1 | Zone:FVG+1 | Sess:OFF_HOURS | NestedOB_1h+2 | QualityRisk:1.15,0,0,-1.0,bull,0.124,2,2.9028,0.0526,1.4637,-1,0.0,0.9125,1.3292,0.0,0.2395,2.432,-1.0,-0.0317,0.73828125,346,0,5,1.948,0.917,1,0.611,1
ADAUSDT,349,402,1706498100,1706546700,LONG,TRAIL,0.4964,0.50475869,0.56605578,0.48246884,0.5087516043172312,0.4947213656292828,0.014030238687948459,17,2.34,58.45,0.44785276073619706,0.004903192172310844,0.9604372829083752,base,adaptive disabled,1.15,80.0,60,100,90,80,OFF_HOURS,neutral,bullish,FVG,BOS bullish | Vol 2.3x | FVG | ChoCH | Engulfing | Zone:FVG | MTF 17 | Risk x1.15,BOS+2 | BodyStrong+1 | 1hN+1 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OFF_HOURS | NestedOB_1h+2 | QualityRisk:1.15,0,0,-1.0,bull,0.124,1,1.8623,0.25,1.4954,-1,0.0,0.9116,1.328,0.0,0.0358,2.203,-1.0,-0.0364,0.984375,347,1,6,1.14,1.71,1,0.57,0
BTCUSDT,351,402,1706499900,1706546700,LONG,TRAIL,42331.5,42837.28258539,46546.35487829,41488.52902434,0.2031328626561639,0.19757171874312954,0.005561143913034376,15,2.14,69.63,0.719000892060644,0.0028278104834443853,0.989825880416966,base,adaptive disabled,1.15,80.0,60,100,90,80,OFF_HOURS,neutral,bullish,FVG,BOS bullish | Vol 2.1x | FVG | ChoCH | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | BodyStrong+1 | 1hN+1 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | NestedOB_1h+2 | QualityRisk:1.15,0,0,-1.0,bull,0.2352,0,2.3903,0.0526,1.4873,-1,0.0,0.6444,1.7132,7.383,0.2659,1.729,1.0,0.3622,0.27685546875,350,0,1,1.103,1.925,1,0.972,2
